admDivOfChinaLabel,borderLabel
Anhui,Henan
Anhui,Jiangxi
Anhui,Zhejiang
Anhui,Jiangsu
Anhui,Shandong
Anhui,Hubei
Beijing,Hebei
Beijing,Tianjin
Chongqing,Hubei
Chongqing,Hunan
Chongqing,Guizhou
Chongqing,Sichuan
Chongqing,Shaanxi
Fujian,Jiangxi
Fujian,Zhejiang
Fujian,Guangdong
Gansu,Sichuan
Gansu,Inner Mongolia
Gansu,Ningxia Hui Autonomous Region
Gansu,Qinghai
Gansu,Xinjiang
Gansu,Shaanxi
Guangdong,Macau
Guangdong,Fujian
Guangdong,Jiangxi
Guangdong,Hong Kong
Guangdong,Guangxi Zhuang Autonomous Region
Guangdong,Hunan
Guangxi Zhuang Autonomous Region,Hainan
Guangxi Zhuang Autonomous Region,Hunan
Guangxi Zhuang Autonomous Region,Yunnan
Guangxi Zhuang Autonomous Region,Guizhou
Guangxi Zhuang Autonomous Region,Guangdong
Guizhou,Sichuan
Guizhou,Hunan
Guizhou,Chongqing
Guizhou,Guangxi Zhuang Autonomous Region
Guizhou,Yunnan
Hainan,Guangxi Zhuang Autonomous Region
Hebei,Beijing
Hebei,Tianjin
Hebei,Shandong
Hebei,Liaoning
Hebei,Henan
Hebei,Shanxi
Hebei,Inner Mongolia
Heilongjiang,Inner Mongolia
Heilongjiang,Jilin
Henan,Hubei
Henan,Shanxi
Henan,Anhui
Henan,Shandong
Henan,Hebei
Henan,Shaanxi
Hong Kong,Guangdong
Hubei,Henan
Hubei,Chongqing
Hubei,Jiangxi
Hubei,Shaanxi
Hubei,Anhui
Hubei,Hunan
Hunan,Chongqing
Hunan,Guangxi Zhuang Autonomous Region
Hunan,Hubei
Hunan,Guangdong
Hunan,Guizhou
Hunan,Jiangxi
Inner Mongolia,Shanxi
Inner Mongolia,Heilongjiang
Inner Mongolia,Jilin
Inner Mongolia,Ningxia Hui Autonomous Region
Inner Mongolia,Shaanxi
Inner Mongolia,Gansu
Inner Mongolia,Hebei
Inner Mongolia,Liaoning
Jiangsu,Zhejiang
Jiangsu,Anhui
Jiangsu,Shanghai
Jiangsu,Shandong
Jiangxi,Anhui
Jiangxi,Guangdong
Jiangxi,Fujian
Jiangxi,Hunan
Jiangxi,Hubei
Jiangxi,Zhejiang
Jilin,Inner Mongolia
Jilin,Heilongjiang
Jilin,Liaoning
Liaoning,Inner Mongolia
Liaoning,Jilin
Liaoning,Hebei
Macau,Guangdong
Ningxia Hui Autonomous Region,Shaanxi
Ningxia Hui Autonomous Region,Inner Mongolia
Ningxia Hui Autonomous Region,Gansu
Qinghai,Tibet
Qinghai,Xinjiang
Qinghai,Gansu
Qinghai,Sichuan
Shaanxi,Inner Mongolia
Shaanxi,Sichuan
Shaanxi,Chongqing
Shaanxi,Ningxia Hui Autonomous Region
Shaanxi,Henan
Shaanxi,Hubei
Shaanxi,Gansu
Shaanxi,Shanxi
Shandong,Jiangsu
Shandong,Hebei
Shandong,Anhui
Shandong,Henan
Shanghai,Jiangsu
Shanghai,Zhejiang
Shanxi,Inner Mongolia
Shanxi,Hebei
Shanxi,Shaanxi
Shanxi,Henan
Sichuan,Chongqing
Sichuan,Gansu
Sichuan,Tibet
Sichuan,Guizhou
Sichuan,Yunnan
Sichuan,Shaanxi
Sichuan,Qinghai
Tianjin,Hebei
Tianjin,Beijing
Tibet,Qinghai
Tibet,Sichuan
Tibet,Yunnan
Tibet,Xinjiang
Xinjiang,Gansu
Xinjiang,Qinghai
Xinjiang,Tibet
Yunnan,Sichuan
Yunnan,Guizhou
Yunnan,Guangxi Zhuang Autonomous Region
Yunnan,Tibet
Zhejiang,Fujian
Zhejiang,Shanghai
Zhejiang,Jiangsu
Zhejiang,Jiangxi
Zhejiang,Anhui
