oblastLabel,borderLabel
Oblast Zjytomyr,Oblast Rivne
Oblast Zjytomyr,Oblast Chmelnytsky
Oblast Zjytomyr,Oblast Vinnytsja
Oblast Zjytomyr,Oblast Kiev
Oblast Zaporizja,Oblast Cherson
Oblast Zaporizja,Oblast Dnjepropetrovsk
Oblast Wolynië,Oblast Rivne
Oblast Wolynië,Oblast Lviv
Oblast Vinnytsja,Oblast Odessa
Oblast Vinnytsja,Oblast Zjytomyr
Oblast Vinnytsja,Oblast Chmelnytsky
Oblast Vinnytsja,Oblast Kirovohrad
Oblast Vinnytsja,Oblast Tsjernivtsi
Oblast Vinnytsja,Oblast Kiev
Oblast Tsjernivtsi,Oblast Chmelnytsky
Oblast Tsjernivtsi,Oblast Ternopil
Oblast Tsjernivtsi,Oblast Ivano-Frankivsk
Oblast Tsjernivtsi,Oblast Vinnytsja
Oblast Tsjernihiv,Oblast Vinnytsja
Oblast Tsjernihiv,Oblast Poltava
Oblast Tsjernihiv,Oblast Ivano-Frankivsk
Oblast Tsjernihiv,Oblast Soemy
Oblast Tsjernihiv,Oblast Kiev
Oblast Tsjerkasy,Oblast Kiev
Oblast Tsjerkasy,Oblast Kirovohrad
Oblast Tsjerkasy,Oblast Poltava
Oblast Transkarpatië,Oblast Ivano-Frankivsk
Oblast Transkarpatië,Oblast Lviv
Oblast Ternopil,Oblast Ivano-Frankivsk
Oblast Ternopil,Oblast Chmelnytsky
Oblast Ternopil,Oblast Tsjernivtsi
Oblast Ternopil,Oblast Rivne
Oblast Ternopil,Oblast Lviv
Oblast Soemy,Oblast Poltava
Oblast Soemy,Oblast Tsjernihiv
Oblast Soemy,Oblast Charkov
Oblast Rivne,Oblast Wolynië
Oblast Rivne,Oblast Ternopil
Oblast Rivne,Oblast Zjytomyr
Oblast Rivne,Oblast Lviv
Oblast Rivne,Oblast Chmelnytsky
Oblast Poltava,Oblast Dnjepropetrovsk
Oblast Poltava,Oblast Soemy
Oblast Poltava,Oblast Kiev
Oblast Poltava,Oblast Kirovohrad
Oblast Poltava,Oblast Tsjerkasy
Oblast Poltava,Oblast Tsjernihiv
Oblast Poltava,Oblast Charkov
Oblast Odessa,Oblast Mykolajiv
Oblast Odessa,Oblast Vinnytsja
Oblast Odessa,Oblast Kirovohrad
Oblast Mykolajiv,Oblast Cherson
Oblast Mykolajiv,Oblast Kirovohrad
Oblast Mykolajiv,Oblast Dnjepropetrovsk
Oblast Mykolajiv,Oblast Odessa
Oblast Lviv,Oblast Rivne
Oblast Lviv,Oblast Ivano-Frankivsk
Oblast Lviv,Oblast Ternopil
Oblast Lviv,Oblast Wolynië
Oblast Lviv,Oblast Transkarpatië
Oblast Loehansk,Oblast Charkov
Oblast Kirovohrad,Oblast Dnjepropetrovsk
Oblast Kirovohrad,Oblast Poltava
Oblast Kirovohrad,Oblast Odessa
Oblast Kirovohrad,Oblast Vinnytsja
Oblast Kirovohrad,Oblast Tsjerkasy
Oblast Kirovohrad,Oblast Mykolajiv
Oblast Kiev,Kiev
Kiev,Oblast Kiev
Oblast Kiev,Oblast Zjytomyr
Oblast Kiev,Oblast Tsjerkasy
Oblast Kiev,Oblast Vinnytsja
Oblast Kiev,Oblast Tsjernihiv
Oblast Kiev,Oblast Poltava
Oblast Ivano-Frankivsk,Oblast Ternopil
Oblast Ivano-Frankivsk,Oblast Lviv
Oblast Ivano-Frankivsk,Oblast Tsjernivtsi
Oblast Ivano-Frankivsk,Oblast Transkarpatië
Oblast Donetsk,Oblast Dnjepropetrovsk
Oblast Donetsk,Oblast Zaporizja
Oblast Donetsk,Oblast Loehansk
Oblast Donetsk,Oblast Charkov
Oblast Dnjepropetrovsk,Oblast Kirovohrad
Oblast Dnjepropetrovsk,Oblast Charkov
Oblast Dnjepropetrovsk,Oblast Mykolajiv
Oblast Dnjepropetrovsk,Oblast Poltava
Oblast Dnjepropetrovsk,Oblast Zaporizja
Oblast Dnjepropetrovsk,Oblast Cherson
Oblast Chmelnytsky,Oblast Zjytomyr
Oblast Chmelnytsky,Oblast Vinnytsja
Oblast Chmelnytsky,Oblast Rivne
Oblast Chmelnytsky,Oblast Tsjernivtsi
Oblast Chmelnytsky,Oblast Ternopil
Oblast Cherson,Oblast Zaporizja
Oblast Cherson,Oblast Mykolajiv
Oblast Cherson,Oblast Dnjepropetrovsk
Oblast Charkov,Oblast Loehansk
Oblast Charkov,Oblast Dnjepropetrovsk
Oblast Charkov,Oblast Poltava
Oblast Charkov,Oblast Soemy
